Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage
TI38_markdup_markdup								57.99999999999999	99.0	1.0	0	86.0	12.00	11
TI39_markdup	0.0116469	235270.0	110306989.0	99.09893333360644	98.14234064180741	13.249171237730861	111309966.0							
TI39_markdup_markdup								38.0	98.0	1.0	0	70.0	10.03	7
TI40_markdup	0.01115644	127833.0	103161784.0	99.17992045515682	98.47867401316051	9.949465070293659	104014788.0							
TI40_markdup_markdup								41.0	100.0	0	0	86.0	9.59	9
TI41_markdup	0.01183755	141852.0	137129140.0	99.19853332533162	98.52444927505115	12.516007284413968	138237064.0							
TI41_markdup_markdup								67.0	98.0	0	0	95.0	12.37	11
TI44_markdup	0.009990856	267579.0	111370458.0	98.74891832828602	97.8004059284716	13.537863311310977	112781446.0							
TI44_markdup_markdup								32.0	94.0	6.0	1.0	57.99999999999999	10.03	6
TI46_markdup	0.009907298	178237.0	56576815.0	99.0141759600208	97.85666518422889	19.077964419953226	57140116.0							
TI46_markdup_markdup								11.0	84.0	0	0	33.0	4.61	3
TI48_markdup	0.02030879	727749.0	46013590.0	98.78467616912128	93.31080906431224	37.540387779358916	46579684.0							
TI48_markdup_markdup								3.0	75.0	0	0	18.0	3.28	2
bSteHir1_markdup	0.03274899	105966672.0	730389646.0	98.43532408471836	60.91363582985754	6.310720270614079	741999534.0							
bSteHir1_markdup_markdup								98.0	99.0	91.0	54.0	99.0	52.80	51
