Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SND15_markdup	129460798.0	0.0	129460798.0	1.0	64730399.0	64730399.0	128375009.0	127960716.0	1085789.0	127391626.0	129460798.0	12936400.0	16286875.0	0.0	185591.0	0.0	15856621227.0	7938667605.0	7917953622.0	15728744255.0	15484467854.0	0.0	1540567936.0	176183750.0	0.01137809	122.0	123.0	122.0	126.0	126.0	126.0	34.4	285.6	106.4	58942542.0	4805212.0	63907.0	168697.0	98.4	99.16129900574226	98.84128475710462	0.8387009942577366	98.40169994935455	100.0	9.992522987537896	12.580545811250134	0.0
SP01_markdup	216141990.0	0.0	216141990.0	1.0	108070995.0	108070995.0	214268029.0	213545532.0	1873961.0	208272782.0	216141990.0	36240345.0	43661931.0	0.0	1613213.0	0.0	26214286789.0	13144127974.0	13070158815.0	26001266080.0	25333814732.0	0.0	4210223682.0	347088106.0	0.01370058	121.0	122.0	121.0	126.0	126.0	126.0	34.4	323.4	138.7	96178408.0	8136743.0	1293606.0	1164009.0	96.4	99.13299539807142	98.79872578206576	0.8670046019285749	96.35924144123962	100.0	16.76691558174328	20.200577870130648	0.0
SP02_markdup	114503988.0	0.0	114503988.0	1.0	57251994.0	57251994.0	113761285.0	113458368.0	742703.0	113107930.0	114503988.0	12011479.0	15150733.0	0.0	92232.0	0.0	14007230201.0	7012031619.0	6995198582.0	13920541499.0	13703272581.0	0.0	1424923074.0	168740623.0	0.01231389	122.0	122.0	122.0	126.0	126.0	126.0	34.3	292.2	111.5	52177102.0	4419797.0	7974.0	124311.0	98.8	99.35137368315941	99.08682656537692	0.6486263168405978	98.78077783631431	100.0	10.490009308671414	13.231620369414557	0.0
SP03_markdup	121332646.0	0.0	121332646.0	1.0	60666323.0	60666323.0	120418097.0	120086394.0	914549.0	119736156.0	121332646.0	10284830.0	13221390.0	0.0	97505.0	0.0	14783489080.0	7401275483.0	7382213597.0	14675996136.0	14468648743.0	0.0	1210164939.0	158427125.0	0.01094968	121.0	122.0	122.0	126.0	126.0	126.0	34.4	294.6	118.1	54452209.0	5456220.0	8355.0	126413.0	98.7	99.2462465542868	98.97286341220976	0.7537534457132007	98.68420408469457	100.0	8.47655626005222	10.896811728642266	0.0
SP06_markdup	66246050.0	0.0	66246050.0	1.0	33123025.0	33123025.0	65658488.0	65397266.0	587562.0	64195884.0	66246050.0	15417834.0	17896533.0	0.0	412610.0	0.0	8025760711.0	4029348970.0	3996411741.0	7961291926.0	7707552386.0	0.0	1792431080.0	116897454.0	0.01516661	121.0	122.0	121.0	126.0	126.0	126.0	34.8	371.0	143.2	30778165.0	1379552.0	233978.0	306938.0	96.9	99.11306108062293	98.71874021168054	0.8869389193770798	96.90522529267783	100.0	23.273589897058013	27.015245437275127	0.0
SP07_markdup	72112816.0	0.0	72112816.0	1.0	36056408.0	36056408.0	71249503.0	70569758.0	863313.0	69953442.0	72112816.0	9150316.0	5600089.0	0.0	224669.0	0.0	8893624761.0	4460883657.0	4432741104.0	8792680497.0	8616825158.0	0.0	1110758885.0	120939076.0	0.01403522	123.0	124.0	123.0	126.0	126.0	126.0	33.8	348.7	123.3	34115947.0	886348.0	188541.0	94043.0	97.0	98.80282999903929	97.86021669157948	1.197170000960717	97.00556139701992	100.0	12.688890141247569	7.765733347592472	0.0
TI06_markdup	111062282.0	0.0	111062282.0	1.0	55531141.0	55531141.0	110082735.0	109751948.0	979547.0	108901312.0	111062282.0	9794365.0	14342817.0	0.0	341194.0	0.0	13254296722.0	6635596318.0	6618700404.0	13140687904.0	12927097357.0	0.0	1122697585.0	135558514.0	0.01048638	119.0	119.0	119.0	126.0	126.0	126.0	34.6	249.5	118.1	45248398.0	9248284.0	70267.0	309025.0	98.1	99.11802010335066	98.82018091434497	0.8819798966493413	98.05427192644935	100.0	8.818804029256306	12.914210604820816	0.0
TI07_markdup	95428092.0	0.0	95428092.0	1.0	47714046.0	47714046.0	94630598.0	94384634.0	797494.0	93642320.0	95428092.0	11286604.0	17019928.0	0.0	353585.0	0.0	11094044718.0	5553157174.0	5540887544.0	11003750475.0	10810595877.0	0.0	1269768715.0	129375260.0	0.01196745	116.0	116.0	116.0	126.0	126.0	126.0	34.8	198.7	98.5	34565760.0	12293932.0	42962.0	289663.0	98.1	99.16429849608646	98.90655049458601	0.8357015039135437	98.12867263446911	100.0	11.827339060703425	17.835343496126907	0.0
TI09_markdup	86535072.0	0.0	86535072.0	1.0	43267536.0	43267536.0	85806852.0	85576114.0	728220.0	85004348.0	86535072.0	9152368.0	13613758.0	0.0	271811.0	0.0	9920510643.0	4965362449.0	4955148194.0	9838469213.0	9677440450.0	0.0	1005649630.0	106567569.0	0.01101196	114.0	115.0	115.0	126.0	126.0	126.0	34.7	187.7	98.3	29505575.0	13027849.0	33694.0	220939.0	98.2	99.15846837222254	98.89182735064924	0.8415316277774634	98.23109409327122	100.0	10.576483948612188	15.732069882602051	0.0
TI21_markdup	127498534.0	0.0	127498534.0	1.0	63749267.0	63749267.0	126113149.0	125735380.0	1385385.0	125136164.0	127498534.0	8097938.0	11635874.0	0.0	223004.0	0.0	15605476323.0	7809973796.0	7795502527.0	15441345245.0	15232420507.0	0.0	960874143.0	148813769.0	0.009769542	122.0	123.0	122.0	126.0	126.0	126.0	34.5	294.5	113.0	57703363.0	4908983.0	52372.0	202972.0	98.1	98.91341103576924	98.61711821721809	1.0865889642307573	98.14713948005081	100.0	6.3513969501798355	9.126280620606979	0.0
