Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
H01393	354461910.0	0.0	354461910.0	1.0	177230955.0	177230955.0	349584076.0	348911104.0	4877834.0	344999330.0	354461910.0	8836194.0	18288597.0	0.0	785293.0	0.0	46501642590.0	23356131104.0	23145511486.0	45898063672.0	45567989820.0	0.0	1151208742.0	227158509.0	0.004985046	131.0	132.0	131.0	134.0	134.0	134.0	37.7	356.3	83.8	172442000.0	586678.0	113000.0	1313874.0	97.3	98.62387639901844	98.43401904593924	1.3761236009815554	97.33043812803469	100.0	2.4928472568463	5.159538016369657	0.0
H01394	487445778.0	0.0	487445778.0	1.0	243722889.0	243722889.0	481784534.0	480719546.0	5661244.0	475459762.0	487445778.0	9597743.0	20289427.0	0.0	1046500.0	0.0	63900405574.0	32121943747.0	31778461827.0	63208173871.0	62762155444.0	0.0	1248935580.0	334590860.0	0.005331093	131.0	132.0	130.0	134.0	134.0	134.0	37.4	391.4	92.4	237864003.0	628425.0	150389.0	1716956.0	97.5	98.83859000210687	98.62010662445414	1.16140999789314	97.54105655624326	100.0	1.9689867946707296	4.162396704562286	0.0
H01395	441160668.0	0.0	441160668.0	1.0	220580334.0	220580334.0	435469212.0	434744654.0	5691456.0	431386872.0	441160668.0	14918753.0	16059927.0	0.0	879372.0	0.0	58021740758.0	29185549029.0	28836191729.0	57321915748.0	56986102972.0	0.0	1955577080.0	249451516.0	0.00437741	131.0	132.0	131.0	134.0	134.0	134.0	37.9	392.4	94.1	215623246.0	589744.0	96386.0	1062951.0	97.8	98.70989042930726	98.54565139972995	1.2901095706927346	97.78452688352534	100.0	3.3817051433062026	3.6403805155177613	0.0
H01396	498895888.0	0.0	498895888.0	1.0	249447944.0	249447944.0	492983290.0	491999842.0	5912598.0	486856960.0	498895888.0	12814831.0	25195986.0	0.0	1206101.0	0.0	65598575980.0	33000221552.0	32598354428.0	64858373826.0	64383995501.0	0.0	1674353442.0	312825643.0	0.004858749	131.0	132.0	131.0	134.0	134.0	134.0	37.9	394.5	92.4	243232997.0	740601.0	158791.0	1867532.0	97.6	98.8148633528124	98.61773845688622	1.1851366471875993	97.58688570309482	100.0	2.568638328804987	5.050349502980871	0.0
H01397	353030938.0	0.0	353030938.0	1.0	176515469.0	176515469.0	349567522.0	349039176.0	3463416.0	346369268.0	353030938.0	8894093.0	10795745.0	0.0	630089.0	0.0	46479251686.0	23367845520.0	23111406166.0	46050975136.0	45828022693.0	0.0	1167521370.0	193685984.0	0.004226366	131.0	132.0	131.0	134.0	134.0	134.0	37.9	393.0	93.8	173089644.0	450001.0	79224.0	900719.0	98.1	99.0189483053182	98.86928833415728	0.9810516946817844	98.11300674163577	100.0	2.5193522840765867	3.0580166886110134	0.0
H01398	386185894.0	0.0	386185894.0	1.0	193092947.0	193092947.0	381465165.0	380662008.0	4720729.0	379094186.0	386185894.0	9981165.0	11837393.0	0.0	532485.0	0.0	50815813392.0	25588937008.0	25226876384.0	50224640562.0	49941228045.0	0.0	1310589185.0	261467993.0	0.005235514	131.0	133.0	131.0	134.0	134.0	134.0	37.3	376.4	85.0	189098534.0	616141.0	63664.0	552665.0	98.2	98.77760190795576	98.56963030348281	1.2223980920442423	98.16365431514181	100.0	2.584549346590065	3.065205949754343	0.0
H01399	233847370.0	0.0	233847370.0	1.0	116923685.0	116923685.0	230071814.0	229564594.0	3775556.0	227932828.0	233847370.0	3205608.0	9268374.0	0.0	438344.0	0.0	30778572699.0	15490496037.0	15288076662.0	30294917223.0	30078774869.0	0.0	420214040.0	163339282.0	0.005430383	131.0	132.0	131.0	134.0	134.0	134.0	37.3	359.5	79.7	113739724.0	381383.0	57549.0	603641.0	97.5	98.38546142297858	98.16855926153885	1.6145385770214138	97.4707682194587	100.0	1.3708120814016425	3.963428795457481	0.0
H01400	387264288.0	0.0	387264288.0	1.0	193632144.0	193632144.0	383050951.0	382422832.0	4213337.0	380836192.0	387264288.0	5326190.0	15116869.0	0.0	544158.0	0.0	50985417324.0	25654207587.0	25331209737.0	50457859570.0	50185646159.0	0.0	697156289.0	245711222.0	0.004896046	131.0	132.0	131.0	134.0	134.0	134.0	37.4	357.7	78.7	190082451.0	542685.0	58314.0	527966.0	98.3	98.91202542280377	98.74983153623502	1.0879745771962326	98.3401268334869	100.0	1.3753372477247374	3.903501941289252	0.0
H01401	442888122.0	0.0	442888122.0	1.0	221444061.0	221444061.0	438974576.0	438173228.0	3913546.0	436154026.0	442888122.0	8174412.0	13338777.0	0.0	655632.0	0.0	58373988867.0	29344952925.0	29029035942.0	57891237680.0	57578014306.0	0.0	1074152551.0	257252249.0	0.004467891	131.0	133.0	131.0	134.0	134.0	134.0	37.7	383.8	88.6	217864783.0	485749.0	72189.0	663893.0	98.5	99.11635787784799	98.93542098652173	0.8836421221520138	98.47950404052607	100.0	1.8457058552588592	3.0117712210850396	0.0
H01402	434637722.0	0.0	434637722.0	1.0	217318861.0	217318861.0	430072950.0	429202094.0	4564772.0	425905316.0	434637722.0	7316694.0	15212262.0	0.0	763527.0	0.0	57290754350.0	28787107090.0	28503647260.0	56721202325.0	56354043158.0	0.0	961557538.0	278609190.0	0.004943908	131.0	132.0	131.0	134.0	134.0	134.0	37.5	383.0	87.5	212795407.0	510471.0	112394.0	1182775.0	98.0	98.94975245613863	98.74938880707643	1.0502475438613679	97.99087710109065	100.0	1.6834005954043723	3.4999865934324035	0.0
H01403	277437156.0	0.0	277437156.0	1.0	138718578.0	138718578.0	274995627.0	274509150.0	2441529.0	272417948.0	277437156.0	9777194.0	9822443.0	0.0	497425.0	0.0	36599998210.0	18382661409.0	18217336801.0	36295648627.0	36068680387.0	0.0	1287536360.0	163346208.0	0.004528755	131.0	133.0	131.0	134.0	134.0	134.0	38.0	375.8	87.0	136150936.0	329942.0	65512.0	708185.0	98.2	99.11997043395297	98.94462369705087	0.8800295660470222	98.19086669126611	100.0	3.5241112405290083	3.540420880035261	0.0
H01404	381622258.0	0.0	381622258.0	1.0	190811129.0	190811129.0	378272773.0	377351016.0	3349485.0	375785950.0	381622258.0	6272438.0	17487436.0	0.0	511845.0	0.0	50113278133.0	25263198010.0	24850080123.0	49700528550.0	49385941254.0	0.0	816737500.0	247962859.0	0.00502092	131.0	132.0	130.0	134.0	134.0	134.0	37.0	380.2	85.0	187527297.0	526966.0	61830.0	559415.0	98.5	99.1223035528499	98.88076706469255	0.8776964471501031	98.47065838596866	100.0	1.643624780397374	4.582394143268237	0.0
H01405	346922590.0	0.0	346922590.0	1.0	173461295.0	173461295.0	343775729.0	343030904.0	3146861.0	340891100.0	346922590.0	6381160.0	11342873.0	0.0	559943.0	0.0	45703111922.0	22988212691.0	22714899231.0	45311702644.0	45033796271.0	0.0	838617773.0	210679169.0	0.004678246	131.0	133.0	131.0	134.0	134.0	134.0	37.5	382.2	86.8	170177281.0	464898.0	77860.0	795413.0	98.3	99.0929212767609	98.87822640779893	0.9070787232390949	98.26143059752897	100.0	1.8393613399461821	3.2695688683749307	0.0
H01406	273256934.0	0.0	273256934.0	1.0	136628467.0	136628467.0	269788204.0	269022924.0	3468730.0	263136530.0	273256934.0	4474230.0	17981755.0	0.0	807449.0	0.0	35832091392.0	18054647422.0	17777443970.0	35404625261.0	35073175447.0	0.0	577115558.0	190209905.0	0.00542323	131.0	132.0	130.0	134.0	134.0	134.0	37.3	376.8	93.0	130328346.0	1489319.0	156110.0	2537687.0	96.3	98.7305976286772	98.45053886171466	1.2694023713228078	96.29637797224206	100.0	1.6373710758241913	6.580530176043036	0.0
avocet_markdup	605958578.0	0.0	605958578.0	1.0	302979289.0	302979289.0	597104292.0	594851774.0	8854286.0	579006534.0	605958578.0	26385651.0	37914707.0	0.0	3995562.0	0.0	81718126344.0	41082307675.0	40635818669.0	80576351243.0	79084202606.0	0.0	3413362412.0	2212185562.0	0.02797254	134.0	136.0	134.0	137.0	137.0	137.0	37.8	429.7	111.8	288536642.0	2466676.0	700159.0	5722410.0	95.6	98.53879682185142	98.16706877280976	1.4612031781485897	95.5521639632602	100.0	4.354365456313418	6.256979994431236	0.0
killdeer	223277670.0	0.0	223277670.0	1.0	111638835.0	111638835.0	199474187.0	195703172.0	23803483.0	187734272.0	223277670.0	5763610.0	7041162.0	0.0	571698.0	0.0	19547246063.0	9784557510.0	9762688553.0	17490261261.0	16396113412.0	0.0	500911981.0	1080841421.0	0.06592059	87.0	88.0	87.0	90.0	90.0	90.0	36.3	151.0	13.0	95355313.0	169171.0	187370.0	2139732.0	84.1	89.33906691161727	87.6501317843383	10.66093308838273	84.08107805854476	100.0	2.5813642716712333	3.153545090290489	0.0
